場所名稱,住址
莒光樓,金門縣金城鎮賢城路1號
清金門鎮總兵署,金門縣金城鎮浯江街58號
金門縣文化局,金門縣金城鎮環島北路66號
金門縣文化局圖書館,金門縣金城鎮環島北路66號
金門縣政府,金門縣金城鎮民生路60號
金門縣立體育場,金門縣金城鎮民族路261號
金湖綜合體育館,金門縣金湖鎮士校路5號
金門縣港務處,金門縣金城鎮西海路1段5號
衛生福利部金門醫院,金門縣金湖鎮新市里復興路2號
金門縣社會福利館,金門縣金湖鎮瓊徑路35號
中山林遊客中心,金門縣金寧鄉伯玉路2段460號
乳山遊客中心,金門縣金寧鄉桃園路190號
文化園區歷史民俗博物館,金門縣金沙鎮西園里文化路450巷52號
金門縣消防局,金門縣金寧鄉頂林路315號
金門酒廠實業股份有限公司,金門縣金寧鄉桃園路1號
交通部民用航空局金門航空站,金門縣金湖鎮尚義機場2號
昇恆昌金湖廣場,金門縣金湖鎮太湖路2段198號
風獅爺商店街,金門縣金湖鎮中山路8-8號
烈嶼鄉衛生所,金門縣烈嶼鄉西方6-5號
台灣自來水公司第五區管理處,嘉義市東區中山里民權路293號1樓
嘉義市政府環境保護局,嘉義市東區民族里吳鳳北路184號5樓
嘉義市政府警察局,嘉義市東區東興里中山路195號4樓
耐斯松屋百貨股份有限公司,嘉義市東區義教里忠孝路600號4樓
好事多股份有限公司嘉義店,嘉義市東區後湖里忠孝路668號1樓
台灣電力公司嘉義區營業處,嘉義市東區興南里垂楊路223號1樓
嘉義市政府文化局,嘉義市東區北門里忠孝路275號
嘉義市政府文化局-音樂廳,嘉義市東區北門里忠孝路275號
嘉義市立博物館,嘉義市東區北門里忠孝路275號
嘉義市東區衛生所,嘉義市東區短竹里大雅路2段625號2樓
嘉義市立體育場(東區體育館),嘉義市東區新開里彌陀路381號
嘉義市立體育場(田徑場),嘉義市東區新開里體育路2號
嘉義市立兒童福利中心,嘉義市東區新開里興業東路555號1樓
嘉義市政府,嘉義市東區東興里中山路199號1樓
財政部南區國稅局嘉義市分局,嘉義市東區東興里中山路199號5樓
交通部公路總局嘉義區監理所嘉義市監理站,嘉義市東區義教里保健街89號1樓
嘉義市立體育場(棒球場),嘉義市東區東川里山仔頂249-1號
臺灣嘉義地方檢察署,嘉義市東區太平里林森東路286號
臺灣嘉義地方法院,嘉義市東區太平里林森東路287號
嘉義市政府財政稅務局,嘉義市東區中央里中山路154號1樓
土地銀行嘉義分行,嘉義市東區中央里中山路309號3樓
嘉義市東區區公所,嘉義市東區民族里吳鳳北路184號4樓
嘉義縣公共汽車管理處,嘉義市東區短竹里大雅路2段635號1樓
嘉義市政府消防局,嘉義市東區短竹里立學街16號1樓
新光三越百貨股份有限公司嘉義垂楊分公司,嘉義市西區永和里垂楊路726號9樓
審計部臺灣省嘉義市審計室,嘉義市西區紅瓦里新民路221巷78號1樓
台灣中油股份有限公司煉製研究所,嘉義市西區美源里民生南路217號(醫務室)
台灣銀行嘉義分行,嘉義市西區國華里中山路306號3樓
大潤發流通事業股份有限公司嘉義分公司,嘉義市西區後驛里博愛路2段281號B1
台中榮民總醫院嘉義分院,嘉義市西區劉厝里世賢路2段600號1樓
遠東百貨股份有限公司嘉義分公司,嘉義市西區垂楊里垂楊路537號5樓
交通部臺灣鐵路管理局高雄運務段嘉義站,嘉義市西區番社里中山路528號1樓
衛生福利部嘉義醫院,嘉義市西區福安里北港路312號1樓
世賢圖書館,嘉義市西區保福里世賢路1段685號1樓
中華郵政股份有限公司嘉義郵局,嘉義市西區西平里中興路672號1樓
家福股份有限公司嘉義店,嘉義市西區西平里博愛路2段461號1樓
嘉義市體育場(港坪運動公園體育館),嘉義市西區港坪里大同路100號
臺灣嘉義地方法院嘉義簡易庭,嘉義市東區北門里文化路308-1號
法務部行政執行署嘉義分署,嘉義市東區中山里中山路96號
嘉義市西區衛生所,嘉義市西區福全里德明路1號1樓
嘉義市西區托育資源中心,嘉義市西區竹圍里德安路6號5樓
行政院農業委員會林務局阿里山林業鐵路及文化資產管理處,嘉義市東區北門里林森西路2號
檜意生活村,嘉義市東區北門里忠孝路275-1號
松泰資產管理股份有限公司(秀泰生活),嘉義市西區國華里文化路299號
嘉義文化創意產業園區,嘉義市西區書院里中山路616號
家福股份有限公司北門店,嘉義市東區忠孝路346巷21號
宜蘭縣政府,宜蘭縣宜蘭市凱旋里3縣政北路1號
財政部北區國稅局宜蘭分局,宜蘭縣宜蘭市泰山路65號
財政部國有財產署北區分署宜蘭辦事處,宜蘭縣宜蘭市泰山路66號5樓
宜蘭縣史館,宜蘭縣宜蘭市凱旋里縣政北路3號
國立陽明大學附設醫院新民院區1樓門診,宜蘭縣宜蘭市新民路152號1樓
國立陽明大學附設醫院蘭陽院區2樓小兒科門診,宜蘭縣宜蘭市校舍路169號2樓
國立陽明大學附設醫院蘭陽院區2樓婦產科門診,宜蘭縣宜蘭市校舍路169號2樓
國立陽明大學附設醫院蘭陽院區5樓產房,宜蘭縣宜蘭市校舍路169號5樓
法務部行政執行署宜蘭分署,宜蘭縣宜蘭市中山路2段261號
臺灣菸酒股份有限公司宜蘭酒廠,宜蘭縣宜蘭市舊城西路3號
臺灣銀行宜蘭分行,宜蘭縣宜蘭市舊城南路50號
交通部臺灣鐵路管理局宜蘭運務段宜蘭站,宜蘭縣宜蘭市光復路1號
環華豐股份有限公司新月廣場分公司,宜蘭縣宜蘭市民權路2段38巷6號4樓
宜蘭縣立體育場羅東運動公園,宜蘭縣羅東鎮公正路666號
行政院農業委員會林務局羅東林區管理處,宜蘭縣羅東鎮中正北路118號
交通部臺灣鐵路管理局宜蘭運務段羅東站,宜蘭縣羅東鎮大新里公正路2號
臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路1段301號
武荖坑風景區,宜蘭縣蘇澳鎮武荖坑路75
交通部臺灣鐵路管理局蘇澳新火車站,宜蘭縣蘇澳鎮中山路2段238-1號
宜蘭縣立蘭陽博物館,宜蘭縣頭城鎮青雲路3段750號
台北榮民總醫院員山分院,宜蘭縣員山鄉榮光路386號
