issue_id,issue_title,user_id,reaction_type,timestamp
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",pingsutw,+1,2020-06-14 14:04:47
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",pingsutw,laugh,2020-06-14 14:04:51
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",pingsutw,rocket,2020-06-14 14:04:54
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",songyunlu,+1,2020-06-15 11:42:25
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",cxorm,+1,2020-06-15 12:12:56
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",wyshieh007,+1,2020-06-16 03:57:13
31,"Spark Streaming use cases in eCommerce at Verizon Media Taiwan",Lhwei,+1,2020-06-30 12:49:39
30,"Tensorflow on Spark: A Deep Dive into Distributed Deep Learning",pingsutw,+1,2020-06-14 14:05:45
30,"Tensorflow on Spark: A Deep Dive into Distributed Deep Learning",pingsutw,heart,2020-06-14 14:05:47
30,"Tensorflow on Spark: A Deep Dive into Distributed Deep Learning",pingsutw,hooray,2020-06-14 14:05:49
30,"Tensorflow on Spark: A Deep Dive into Distributed Deep Learning",songyunlu,+1,2020-06-15 11:43:32
30,"Tensorflow on Spark: A Deep Dive into Distributed Deep Learning",cxorm,+1,2020-06-15 12:11:44
30,"Tensorflow on Spark: A Deep Dive into Distributed Deep Learning",dboyliao,+1,2020-06-29 07:32:17
28,"Dremio Introduction and Hand on",pingsutw,+1,2020-06-15 02:05:22
28,"Dremio Introduction and Hand on",pingsutw,heart,2020-06-15 02:05:24
28,"Dremio Introduction and Hand on",lowc1012,+1,2020-06-25 11:57:34
24,"關於精準醫療的應用與挑戰：一個基於 Apache Spark 的高效能平行基因體分析平台",A-Tsai,+1,2020-06-16 04:41:14
24,"關於精準醫療的應用與挑戰：一個基於 Apache Spark 的高效能平行基因體分析平台",david30907d,+1,2020-06-24 13:33:08
22,"人工智慧系統在 AWS 的開發及維運: 以資安應用為例",cxorm,+1,2020-06-30 23:57:54
16,"資料科學自動化 - Automation is all you need",HifferHiffer,+1,2020-06-10 01:07:39
13,"當客服比你更懂你 - Python 營運化的資料科學",HifferHiffer,+1,2020-06-05 03:29:37
13,"當客服比你更懂你 - Python 營運化的資料科學",squarehuang,+1,2020-06-05 15:03:23
13,"當客服比你更懂你 - Python 營運化的資料科學",jenghsueh,+1,2020-06-05 18:55:25
13,"當客服比你更懂你 - Python 營運化的資料科學",GuanYingChen,+1,2020-06-06 07:51:40
13,"當客服比你更懂你 - Python 營運化的資料科學",tmy129,+1,2020-06-08 15:00:25
13,"當客服比你更懂你 - Python 營運化的資料科學",JuiyunLiu,+1,2020-06-08 15:00:43
13,"當客服比你更懂你 - Python 營運化的資料科學",shadow-tw,+1,2020-06-10 02:02:31
13,"當客服比你更懂你 - Python 營運化的資料科學",sonic-tt,+1,2020-06-10 02:02:51
10,"PySpark 實務經驗分享 - 使用 PySpark 探索客戶位置大數據",HifferHiffer,+1,2020-06-05 03:29:56
10,"PySpark 實務經驗分享 - 使用 PySpark 探索客戶位置大數據",jenghsueh,+1,2020-06-05 18:55:59
10,"PySpark 實務經驗分享 - 使用 PySpark 探索客戶位置大數據",dboyliao,+1,2020-06-29 07:33:04
9,"串流客戶進線問題預測平台架構",chihhanyu,+1,2020-06-01 07:50:29
9,"串流客戶進線問題預測平台架構",songyunlu,+1,2020-06-01 09:20:00
9,"串流客戶進線問題預測平台架構",littlefish0331,+1,2020-06-01 13:28:24
9,"串流客戶進線問題預測平台架構",HifferHiffer,+1,2020-06-05 03:30:15
9,"串流客戶進線問題預測平台架構",jenghsueh,+1,2020-06-05 18:52:20
7,"Computer Vision by Neural Network",justin2061,+1,2020-06-28 16:30:25
7,"Computer Vision by Neural Network",whuang022nccu,+1,2020-06-28 16:32:16
7,"Computer Vision by Neural Network",PoYuTsai,+1,2020-06-28 16:34:46
7,"Computer Vision by Neural Network",PoYuTsai,heart,2020-06-28 16:34:48
7,"Computer Vision by Neural Network",PoYuTsai,rocket,2020-06-28 16:34:54
7,"Computer Vision by Neural Network",markhsu426,+1,2020-06-28 16:37:37
7,"Computer Vision by Neural Network",markhsu426,rocket,2020-06-28 16:37:40
7,"Computer Vision by Neural Network",d79761990,+1,2020-06-28 16:39:48
7,"Computer Vision by Neural Network",hannah-cheng,+1,2020-06-28 16:48:12
7,"Computer Vision by Neural Network",hannah-cheng,heart,2020-06-28 16:48:16
7,"Computer Vision by Neural Network",hannah-cheng,rocket,2020-06-28 16:48:17
7,"Computer Vision by Neural Network",maowei0128,+1,2020-06-28 16:48:30
7,"Computer Vision by Neural Network",kikicat1121,+1,2020-06-28 16:54:58
7,"Computer Vision by Neural Network",wenchiching,+1,2020-06-28 16:58:59
7,"Computer Vision by Neural Network",markhsu02,+1,2020-06-28 17:04:14
7,"Computer Vision by Neural Network",ryan03030303,+1,2020-06-28 17:08:32
7,"Computer Vision by Neural Network",abin0118,+1,2020-06-28 17:14:04
7,"Computer Vision by Neural Network",abin0118,heart,2020-06-28 17:14:08
7,"Computer Vision by Neural Network",abin0118,rocket,2020-06-28 17:14:10
7,"Computer Vision by Neural Network",RenoDou,+1,2020-06-28 17:17:38
7,"Computer Vision by Neural Network",RenoDou,heart,2020-06-28 17:17:56
7,"Computer Vision by Neural Network",HsiehShuJeng,+1,2020-06-28 17:25:51
7,"Computer Vision by Neural Network",Ahdi7799,+1,2020-06-28 17:51:46
7,"Computer Vision by Neural Network",a1550933,+1,2020-06-29 00:39:28
7,"Computer Vision by Neural Network",SuJiaKuan,+1,2020-06-29 02:09:39
7,"Computer Vision by Neural Network",sqlwu,+1,2020-06-29 03:22:38
7,"Computer Vision by Neural Network",dboyliao,+1,2020-06-29 07:31:33
7,"Computer Vision by Neural Network",KingRei,+1,2020-06-29 11:46:28
7,"Computer Vision by Neural Network",kunxianhuang,+1,2020-06-29 13:03:21
7,"Computer Vision by Neural Network",kunxianhuang,heart,2020-06-29 13:03:24
7,"Computer Vision by Neural Network",Lhwei,+1,2020-06-30 12:47:53
7,"Computer Vision by Neural Network",shout315,+1,2020-06-30 15:12:55
7,"Computer Vision by Neural Network",shout315,heart,2020-06-30 15:12:56
7,"Computer Vision by Neural Network",shout315,rocket,2020-06-30 15:12:58
7,"Computer Vision by Neural Network",patrick304,heart,2020-06-30 15:34:11
7,"Computer Vision by Neural Network",patrick304,rocket,2020-06-30 15:34:13
7,"Computer Vision by Neural Network",patrick304,+1,2020-06-30 15:34:40
7,"Computer Vision by Neural Network",SzuKaiWang,+1,2020-07-01 15:14:27
7,"Computer Vision by Neural Network",JuniorHsu,+1,2020-07-03 00:33:16
6,"在網路聲量定產品好壞的年代，我們需要好的機器學習來翻轉",Dennishi0925,+1,2020-06-01 17:14:24
6,"在網路聲量定產品好壞的年代，我們需要好的機器學習來翻轉",whuang022nccu,+1,2020-06-30 15:01:57
6,"在網路聲量定產品好壞的年代，我們需要好的機器學習來翻轉",sqlwu,+1,2020-06-30 15:04:17
6,"在網路聲量定產品好壞的年代，我們需要好的機器學習來翻轉",PoYuTsai,+1,2020-06-30 15:10:31
6,"在網路聲量定產品好壞的年代，我們需要好的機器學習來翻轉",PoYuTsai,heart,2020-06-30 15:10:34
6,"在網路聲量定產品好壞的年代，我們需要好的機器學習來翻轉",PoYuTsai,hooray,2020-06-30 15:10:38
